t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0047,2.22000,0.00000,0.00000,0.00000,-0.03130,-0.00113,-0.03196,0.99900,-0.34608,0.45302,0.01779,-1.00000,0.00000,0.00000,-0.00000
0.0056,2.23000,0.00000,0.00002,0.00000,-0.03130,-0.00113,-0.03195,0.99900,-0.36185,0.96483,0.00695,-1.00000,0.00000,0.00000,-0.00000
0.0205,2.24000,0.00000,0.00000,0.00000,-0.03130,-0.00113,-0.03190,0.99900,-0.26711,1.51420,0.01270,-1.00000,0.00000,0.00000,-0.00000
0.0214,2.25000,0.00000,0.00002,0.00000,-0.03130,-0.00113,-0.03195,0.99900,-0.43256,0.16629,0.01215,-1.00000,0.00000,0.00000,-0.00000
0.0372,2.26000,0.00000,0.00000,0.00000,-0.03129,-0.00113,-0.03193,0.99900,-0.27806,1.32821,0.01238,-1.00000,0.00000,0.00000,-0.00000
0.0517,2.27000,0.00000,0.00002,0.00000,-0.03129,-0.00114,-0.03189,0.99900,-0.34983,1.16695,0.00735,-1.00000,0.00000,0.00000,-0.00000
0.0525,2.28000,0.00000,0.00000,0.00000,-0.03128,-0.00113,-0.03184,0.99900,-0.28094,1.55813,0.01571,-1.00000,0.00000,0.00000,-0.00000
0.0666,2.29000,0.00000,0.00003,-0.00002,-0.03127,-0.00107,-0.03205,0.99900,-0.30708,-1.12538,0.05205,-1.00000,0.00000,0.00000,-0.00000
0.0806,2.30000,0.00000,0.00000,0.00000,-0.03128,-0.00110,-0.03204,0.99900,0.53673,1.22173,-0.07055,-1.00000,0.00000,0.00000,-0.00000
0.0815,2.31000,0.00000,0.00002,0.00000,-0.03127,-0.00113,-0.03201,0.99900,-0.15821,1.09825,-0.02643,-1.00000,0.00000,0.00000,-0.00000
0.0957,2.32000,0.00003,0.00000,0.00000,-0.03127,-0.00106,-0.03194,0.99900,-0.17596,1.39163,0.00776,-1.00000,0.00000,0.00000,-0.00000
0.1101,2.33000,0.00000,0.00002,0.00000,-0.03125,-0.00108,-0.03208,0.99900,0.05044,0.11266,-0.01226,-1.00000,0.00000,0.00000,-0.00000
0.1110,2.34000,0.00000,0.00000,0.00000,-0.03125,-0.00112,-0.03205,0.99900,-0.08435,1.41288,-0.02209,-1.00000,0.00000,0.00000,-0.00000
0.1246,2.35000,0.00000,0.00002,0.00000,-0.03125,-0.00108,-0.03199,0.99900,-0.32421,1.07855,0.00257,-1.00000,0.00000,0.00000,-0.00000
0.1391,2.36000,0.00000,0.00002,0.00000,-0.03124,-0.00111,-0.03206,0.99900,0.04440,0.07042,-0.01699,-1.00000,0.00000,0.00000,-0.00000
0.1539,2.37000,0.00000,0.00002,0.00000,-0.03122,-0.00107,-0.03214,0.99899,0.11879,-0.32602,-0.02207,-1.00000,0.00000,0.00000,-0.00000
0.1549,2.38000,0.00000,0.00002,0.00000,-0.03129,-0.00105,-0.03218,0.99899,-0.42964,1.30111,0.02356,-1.00000,0.00000,0.00000,-0.00000
0.1689,2.39000,-0.00003,0.00000,0.00000,-0.03129,-0.00108,-0.03218,0.99899,0.22767,1.99408,-0.00689,-1.00000,0.00000,0.00000,-0.00000
0.1830,2.40000,0.00000,0.00002,0.00000,-0.03129,-0.00106,-0.03210,0.99899,-0.31607,1.27150,0.00117,-1.00000,0.00000,0.00000,-0.00000
0.1838,2.41000,0.00000,0.00000,0.00000,-0.03128,-0.00109,-0.03205,0.99900,-0.06937,1.58326,-0.02260,-1.00000,0.00000,0.00000,-0.00000
