t_wall,x,y,z
0.0031,0.00000,0.00000,0.00000
0.0035,-0.00006,-0.00001,0.00000
0.0123,-0.00006,-0.00001,0.00000
0.0251,-0.00006,-0.00000,0.00000
0.0327,-0.00006,-0.00000,0.00000
0.0470,-0.00006,-0.00000,0.00000
0.0540,-0.00012,-0.00001,0.00000
0.0616,0.00000,0.00000,0.00000
0.0760,-0.00006,-0.00001,0.00000
0.0836,-0.00006,-0.00001,0.00000
0.0974,-0.00006,-0.00000,0.00000
0.1044,-0.00006,-0.00000,0.00000
0.1113,-0.00012,-0.00001,0.00000
0.1256,0.00000,0.00000,0.00000
0.1332,-0.00006,-0.00000,0.00000
0.1488,-0.00006,-0.00000,0.00000
0.1596,-0.00012,-0.00001,0.00000
0.1702,0.00000,0.00000,0.00000
0.1789,-0.00006,-0.00001,0.00000
0.1898,-0.00006,-0.00001,0.00000
0.2012,-0.00006,-0.00000,0.00000
0.2128,-0.00006,-0.00000,0.00000
0.2134,-0.00006,-0.00000,0.00000
0.2235,-0.00012,-0.00001,0.00000
0.2419,0.00000,0.00000,0.00000
0.2729,-0.00006,-0.00001,0.00000
0.2736,-0.00006,-0.00001,0.00000
0.2825,-0.00006,-0.00000,0.00000
0.2833,-0.00006,-0.00000,0.00000
0.2839,-0.00012,-0.00001,0.00000
0.2972,0.00000,0.00000,0.00000
0.3068,-0.00006,-0.00000,0.00000
0.3160,-0.00006,-0.00000,0.00000
0.3251,-0.00012,-0.00001,0.00000
0.3328,0.00000,0.00000,0.00000
0.3475,-0.00006,-0.00001,0.00000
0.3547,-0.00006,-0.00001,0.00000
0.3624,-0.00006,-0.00000,0.00000
0.3779,-0.00006,-0.00000,0.00000
0.3850,-0.00006,-0.00000,0.00000
0.3921,-0.00012,-0.00001,0.00000
0.4061,0.00000,0.00000,0.00000
0.4130,-0.00006,-0.00001,0.00000
0.4269,-0.00006,-0.00001,0.00000
0.4338,-0.00006,-0.00000,0.00000
0.4477,-0.00006,-0.00000,0.00000
0.4549,-0.00012,-0.00001,0.00000
0.4636,0.00000,0.00000,0.00000
0.4774,-0.00006,-0.00000,0.00000
0.4844,-0.00006,-0.00000,0.00000
0.4913,-0.00012,-0.00001,0.00000
0.5054,0.00000,0.00000,0.00000
0.5123,-0.00006,-0.00001,0.00000
0.5269,-0.00006,-0.00001,0.00000
0.5350,-0.00006,-0.00000,0.00000
0.5418,-0.00006,-0.00000,0.00000
0.5558,-0.00006,-0.00000,0.00000
0.5628,-0.00012,-0.00001,0.00000
0.5767,0.00000,0.00000,0.00000
0.5836,-0.00006,-0.00001,0.00000
0.5975,-0.00006,-0.00001,0.00000
0.6044,-0.00006,-0.00000,0.00000
0.6115,-0.00006,-0.00000,0.00000
0.6253,-0.00012,-0.00001,0.00000
0.6323,0.00000,0.00000,0.00000
0.6462,-0.00006,-0.00000,0.00000
0.6531,-0.00006,-0.00000,0.00000
0.6670,-0.00012,-0.00001,0.00000
0.6747,0.00000,0.00000,0.00000
0.6816,-0.00006,-0.00000,0.00000
0.6956,-0.00012,-0.00001,0.00000
0.7025,0.00000,0.00000,0.00000
0.7164,-0.00006,-0.00000,0.00000
0.7235,-0.00006,-0.00000,0.00000
0.7381,-0.00012,-0.00001,0.00000
0.7451,0.00000,0.00000,0.00000
0.7540,-0.00006,-0.00001,0.00000
0.7660,-0.00006,-0.00001,0.00000
0.7747,-0.00006,-0.00000,0.00000
0.7836,-0.00006,-0.00000,0.00000
0.7913,-0.00006,-0.00000,0.00000
0.8062,-0.00012,-0.00001,0.00000
0.8138,0.00000,0.00000,0.00000
0.8280,-0.00006,-0.00001,0.00000
0.8368,-0.00006,-0.00001,0.00000
0.8444,-0.00006,-0.00000,0.00000
0.8516,-0.00006,-0.00000,0.00000
0.8657,-0.00012,-0.00001,0.00000
0.8726,0.00000,0.00000,0.00000
0.8869,-0.00006,-0.00000,0.00000
0.8938,-0.00006,-0.00000,0.00000
0.9077,-0.00012,-0.00001,0.00000
0.9184,0.00000,0.00000,0.00000
0.9309,-0.00006,-0.00001,0.00000
0.9378,-0.00006,-0.00001,0.00000
0.9447,-0.00006,-0.00000,0.00000
0.9517,-0.00006,-0.00000,0.00000
0.9656,-0.00006,-0.00000,0.00000
0.9725,-0.00012,-0.00001,0.00000
0.9866,0.00000,0.00000,0.00000
0.9936,-0.00006,-0.00001,0.00000
1.0075,-0.00006,-0.00001,0.00000
1.0144,-0.00006,-0.00000,0.00000
1.0214,-0.00006,-0.00000,0.00000
1.0353,-0.00012,-0.00001,0.00000
1.0422,0.00000,0.00000,0.00000
1.0562,-0.00006,-0.00000,0.00000
1.0630,-0.00006,-0.00000,0.00000
1.0769,-0.00012,-0.00001,0.00000
1.0839,0.00000,0.00000,0.00000
1.0978,-0.00006,-0.00001,0.00000
1.1047,-0.00006,-0.00001,0.00000
1.1117,-0.00006,-0.00000,0.00000
1.1255,-0.00006,-0.00000,0.00000
1.1325,-0.00006,-0.00000,0.00000
1.1464,-0.00012,-0.00001,0.00000
1.1533,0.00000,0.00000,0.00000
1.1672,-0.00006,-0.00001,0.00000
1.1742,-0.00006,-0.00001,0.00000
