t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0000,20.89038,0.00000,0.00000,0.00000,-0.64671,0.26376,-0.61034,-0.37375,72.67333,14.68993,-29.87167,0.98607,-0.16633,0.34886,0.07926
0.0098,20.90038,-0.31537,-0.21534,-0.03400,-0.65048,0.26179,-0.61061,-0.36809,72.66776,14.69167,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0114,20.91038,-0.63001,-0.43218,-0.06690,-0.65423,0.25981,-0.61085,-0.36242,72.63047,14.70484,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0121,20.92038,-0.94397,-0.65054,-0.09876,-0.65793,0.25783,-0.61106,-0.35673,72.50997,14.87610,-33.04800,0.98607,-0.16633,0.34886,0.07926
0.0131,20.93038,-1.25708,-0.87043,-0.12958,-0.66160,0.25582,-0.61124,-0.35102,72.67364,14.72498,-33.04800,0.98607,-0.16633,0.34886,0.07926
0.0139,20.94038,-1.56946,-1.09188,-0.15943,-0.66525,0.25381,-0.61139,-0.34530,72.57594,14.72247,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0150,20.95038,-1.88098,-1.31489,-0.18817,-0.66886,0.25176,-0.61151,-0.33956,72.70040,14.54321,-33.04800,0.98607,-0.16633,0.34886,0.07926
0.0161,20.96038,-2.19171,-1.53950,-0.21607,-0.67243,0.24973,-0.61159,-0.33381,72.53384,14.76845,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0174,20.97038,-2.50159,-1.76570,-0.24298,-0.67597,0.24767,-0.61165,-0.32804,72.52730,14.65647,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0196,20.98038,-2.81055,-1.99353,-0.26904,-0.67948,0.24561,-0.61167,-0.32225,72.58251,14.77276,-33.04800,0.98607,-0.16633,0.34886,0.07926
0.0205,20.99039,-3.11859,-2.22299,-0.29413,-0.68295,0.24352,-0.61167,-0.31644,72.65516,14.63741,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0216,21.00039,-3.42566,-2.45411,-0.31836,-0.68639,0.24143,-0.61163,-0.31062,72.62502,14.69566,-33.04801,0.98607,-0.16633,0.34886,0.07926
0.0226,21.01039,-3.73175,-2.68688,-0.34180,-0.68980,0.23933,-0.61157,-0.30477,72.61916,14.85453,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0237,21.02039,-4.03693,-2.92134,-0.36438,-0.69316,0.23723,-0.61147,-0.29891,72.56503,14.89754,-33.04803,0.98607,-0.16633,0.34886,0.07926
0.0249,21.03039,-4.34101,-3.15748,-0.38623,-0.69650,0.23510,-0.61135,-0.29302,72.77919,14.86501,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0258,21.04039,-4.64405,-3.39533,-0.40729,-0.69980,0.23296,-0.61120,-0.28713,72.66991,14.81545,-33.04803,0.98607,-0.16633,0.34886,0.07926
0.0267,21.05039,-4.94605,-3.63490,-0.42761,-0.70306,0.23082,-0.61102,-0.28122,72.58286,14.88973,-33.04801,0.98607,-0.16633,0.34886,0.07926
0.0276,21.06039,-5.24689,-3.87620,-0.44721,-0.70629,0.22867,-0.61080,-0.27531,72.60983,14.82093,-33.04803,0.98607,-0.16633,0.34886,0.07926
0.0285,21.07039,-5.54670,-4.11923,-0.46613,-0.70948,0.22650,-0.61055,-0.26939,72.48186,14.67936,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0294,21.08039,-5.84534,-4.36401,-0.48432,-0.71264,0.22431,-0.61026,-0.26346,72.49355,14.63910,-33.04801,0.98607,-0.16633,0.34886,0.07926
0.0304,21.09039,-6.14283,-4.61056,-0.50195,-0.71576,0.22211,-0.60995,-0.25751,72.64391,14.75761,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0313,21.10039,-6.43909,-4.85887,-0.51892,-0.71885,0.21990,-0.60961,-0.25154,72.67340,14.63261,-33.04799,0.98607,-0.16633,0.34886,0.07926
0.0322,21.11039,-6.73413,-5.10896,-0.53534,-0.72190,0.21768,-0.60924,-0.24555,72.70312,14.75563,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0330,21.12039,-7.02796,-5.36084,-0.55115,-0.72493,0.21543,-0.60884,-0.23956,72.74556,14.54665,-33.04803,0.98607,-0.16633,0.34886,0.07926
0.0338,21.13039,-7.32050,-5.61451,-0.56641,-0.72791,0.21318,-0.60840,-0.23356,72.71598,14.66349,-33.04801,0.98607,-0.16633,0.34886,0.07926
0.0346,21.14039,-7.61170,-5.86999,-0.58112,-0.73085,0.21092,-0.60794,-0.22754,72.70502,14.68658,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0354,21.15039,-7.90161,-6.12727,-0.59540,-0.73376,0.20866,-0.60745,-0.22149,72.74297,14.91269,-33.04802,0.98607,-0.16633,0.34886,0.07926
0.0362,21.16039,-8.19019,-6.38637,-0.60913,-0.73663,0.20639,-0.60693,-0.21546,72.57550,14.68946,-33.04801,0.98607,-0.16633,0.34886,0.07926
0.0371,21.17039,-8.47742,-6.64730,-0.62244,-0.73946,0.20410,-0.60637,-0.20943,72.43946,14.58256,-33.04802,0.98607,-0.16633,0.34886,0.07926
