t_wall,x,y,z
0.0000,0.00000,0.00000,0.00000
0.0070,0.00000,0.00000,0.00000
0.0140,0.00000,0.00000,0.00000
0.0279,0.00000,0.00000,0.00000
0.0348,0.00000,0.00000,0.00000
0.0488,0.00000,0.00000,0.00000
0.0557,0.00000,0.00000,0.00000
0.0696,0.00000,0.00000,0.00000
0.0766,0.00000,0.00000,0.00000
0.0837,0.00000,0.00000,0.00000
0.0975,0.00000,0.00000,0.00000
0.1044,0.00000,0.00000,0.00000
0.1198,0.00000,0.00000,0.00000
0.1267,0.00000,0.00000,0.00000
0.1342,0.00000,0.00000,0.00000
0.1483,0.00000,0.00000,0.00000
0.1552,0.00000,0.00000,0.00000
0.1693,0.00000,0.00000,0.00000
0.1762,0.00000,0.00000,0.00000
0.1840,0.00000,0.00000,0.00000
0.1979,0.00000,0.00000,0.00000
0.2048,0.00000,0.00000,0.00000
0.2226,0.00000,0.00000,0.00000
0.2293,0.00000,0.00000,0.00000
0.2376,0.00000,0.00000,0.00000
0.3089,0.00000,0.00000,0.00000
0.3150,0.00000,0.00000,0.00000
0.3156,0.00000,0.00000,0.00000
0.3161,0.00000,0.00000,0.00000
0.3167,0.00000,0.00000,0.00000
0.3173,0.00000,0.00000,0.00000
0.3178,0.00000,0.00000,0.00000
0.3182,0.00000,0.00000,0.00000
0.3255,0.00000,0.00000,0.00000
0.3453,0.00000,0.00000,0.00000
0.3459,0.00000,0.00000,0.00000
0.3580,0.00000,0.00000,0.00000
0.3650,0.00000,0.00000,0.00000
0.3789,0.00000,0.00000,0.00000
0.3858,0.00000,0.00000,0.00000
0.3997,0.00000,0.00000,0.00000
0.4066,0.00000,0.00000,0.00000
0.4429,0.00000,0.00000,0.00000
0.4443,0.00000,0.00000,0.00000
0.4455,0.00000,0.00000,0.00000
0.4728,0.00000,0.00000,0.00000
0.4980,0.00000,0.00000,0.00000
0.5001,0.00000,0.00000,0.00000
0.5837,0.00000,0.00000,0.00000
0.5838,0.00000,0.00000,0.00000
0.5838,0.00000,0.00000,0.00000
0.5839,0.00000,0.00000,0.00000
0.5839,0.00000,0.00000,0.00000
0.5840,0.00000,0.00000,0.00000
0.5840,0.00000,0.00000,0.00000
0.5840,0.00000,0.00000,0.00000
0.5841,0.00000,0.00000,0.00000
0.6521,0.00000,0.00000,0.00000
0.6612,0.00000,0.00000,0.00000
0.6623,0.00000,0.00000,0.00000
0.6632,0.00000,0.00000,0.00000
0.6639,0.00000,0.00000,0.00000
0.6646,0.00000,0.00000,0.00000
0.6654,0.00000,0.00000,0.00000
0.7075,0.00000,0.00000,0.00000
0.7962,0.00000,0.00000,0.00000
0.8221,0.00000,0.00000,0.00000
0.8258,0.00000,0.00000,0.00000
0.8273,0.00000,0.00000,0.00000
0.8288,0.00000,0.00000,0.00000
0.8330,0.00000,0.00000,0.00000
0.8446,0.00000,0.00000,0.00000
0.8455,0.00000,0.00000,0.00000
0.8471,0.00000,0.00000,0.00000
0.8481,0.00000,0.00000,0.00000
0.8497,0.00000,0.00000,0.00000
0.8505,0.00000,0.00000,0.00000
0.8516,0.00000,0.00000,0.00000
0.8526,0.00000,0.00000,0.00000
0.8536,0.00000,0.00000,0.00000
0.8545,0.00000,0.00000,0.00000
0.8555,0.00000,0.00000,0.00000
0.8565,0.00000,0.00000,0.00000
0.8575,0.00000,0.00000,0.00000
0.8584,0.00000,0.00000,0.00000
0.8593,0.00000,0.00000,0.00000
0.8693,0.00000,0.00000,0.00000
0.8703,0.00000,0.00000,0.00000
0.8812,0.00000,0.00000,0.00000
0.8906,0.00000,0.00000,0.00000
0.9013,0.00000,0.00000,0.00000
0.9117,0.00000,0.00000,0.00000
0.9201,0.00000,0.00000,0.00000
0.9291,0.00000,0.00000,0.00000
0.9390,0.00000,0.00000,0.00000
0.9473,0.00000,0.00000,0.00000
0.9572,0.00000,0.00000,0.00000
0.9659,0.00000,0.00000,0.00000
0.9766,0.00000,0.00000,0.00000
0.9856,0.00000,0.00000,0.00000
0.9946,0.00000,0.00000,0.00000
1.0122,0.00000,0.00000,0.00000
1.0221,0.00000,0.00000,0.00000
1.0321,0.00000,0.00000,0.00000
1.0420,0.00000,0.00000,0.00000
1.0525,0.00000,0.00000,0.00000
1.0623,0.00000,0.00000,0.00000
1.0715,0.00000,0.00000,0.00000
1.0814,0.00000,0.00000,0.00000
1.0906,0.00000,0.00000,0.00000
1.1005,0.00000,0.00000,0.00000
1.1104,0.00000,0.00000,0.00000
1.1197,0.00000,0.00000,0.00000
1.1287,0.00000,0.00000,0.00000
1.1379,0.00000,0.00000,0.00000
1.1478,0.00000,0.00000,0.00000
1.1571,0.00000,0.00000,0.00000
1.1671,0.00000,0.00000,0.00000
1.1793,0.00000,0.00000,0.00000
1.1943,0.00000,0.00000,0.00000
1.1953,0.00000,0.00000,0.00000
1.2045,0.00000,0.00000,0.00000
1.2149,0.00000,0.00000,0.00000
1.2249,0.00000,0.00000,0.00000
1.2359,0.00000,0.00000,0.00000
1.2461,0.00000,0.00000,0.00000
1.2563,0.00000,0.00000,0.00000
1.2659,0.00000,0.00000,0.00000
1.2751,0.00000,0.00000,0.00000
1.2931,0.00000,0.00000,0.00000
1.3020,0.00000,0.00000,0.00000
1.3106,0.00000,0.00000,0.00000
1.3192,0.00000,0.00000,0.00000
1.3270,0.00000,0.00000,0.00000
1.3348,0.00000,0.00000,0.00000
1.3489,0.00000,0.00000,0.00000
1.3559,0.00000,0.00000,0.00000
1.3698,0.00000,0.00000,0.00000
1.3767,0.00000,0.00000,0.00000
1.3836,0.00000,0.00000,0.00000
1.3976,0.00000,0.00000,0.00000
1.4045,0.00000,0.00000,0.00000
1.4184,0.00000,0.00000,0.00000
1.4253,0.00000,0.00000,0.00000
1.4393,0.00000,0.00000,0.00000
1.4462,0.00000,0.00000,0.00000
1.4601,0.00000,0.00000,0.00000
