t_wall,t_sim,x,y,z,qx,qy,qz,qw,gx,gy,gz,in1,in2,in3,in4
0.0001,21.06039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20236,-0.97831,0.11857,0.15163,0.01302,-1.00000,0.00000,0.00000,-0.00000
0.0141,21.07039,459.64435,3.05893,648.11267,-0.03974,0.01977,0.20244,-0.97829,-0.18848,-0.57741,-0.03943,-1.00000,0.00000,0.00000,-0.00000
0.0210,21.08039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.30544,0.67918,0.05819,-1.00000,0.00000,0.00000,-0.00000
0.0280,21.09039,459.64432,3.05892,648.11267,-0.03976,0.01976,0.20238,-0.97830,0.28246,0.12972,0.01026,-1.00000,0.00000,0.00000,-0.00000
0.0418,21.10039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20236,-0.97831,0.11646,0.15217,0.01295,-1.00000,0.00000,0.00000,-0.00000
0.0489,21.11039,459.64435,3.05893,648.11267,-0.03974,0.01977,0.20244,-0.97829,-0.18755,-0.58228,-0.03937,-1.00000,0.00000,0.00000,-0.00000
0.0626,21.12039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.30504,0.67579,0.05838,-1.00000,0.00000,0.00000,-0.00000
0.0697,21.13039,459.64432,3.05892,648.11267,-0.03976,0.01976,0.20238,-0.97830,0.27392,0.12850,0.01019,-1.00000,0.00000,0.00000,-0.00000
0.0834,21.14039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20236,-0.97830,0.11656,0.14678,0.01276,-1.00000,0.00000,0.00000,-0.00000
0.0903,21.15039,459.64435,3.05893,648.11267,-0.03974,0.01977,0.20245,-0.97829,-0.18046,-0.57600,-0.03959,-1.00000,0.00000,0.00000,-0.00000
0.1043,21.16039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.30523,0.68151,0.05818,-1.00000,0.00000,0.00000,-0.00000
0.1112,21.17039,459.64432,3.05892,648.11267,-0.03976,0.01976,0.20238,-0.97830,0.27518,0.13228,0.01018,-1.00000,0.00000,0.00000,-0.00000
0.1182,21.18039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20236,-0.97831,0.11896,0.15267,0.01302,-1.00000,0.00000,0.00000,-0.00000
0.1320,21.19039,459.64435,3.05893,648.11267,-0.03974,0.01976,0.20244,-0.97829,-0.18749,-0.58220,-0.03937,-1.00000,0.00000,0.00000,-0.00000
0.1391,21.20039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.29804,0.67607,0.05831,-1.00000,0.00000,0.00000,-0.00000
0.1530,21.21039,459.64432,3.05892,648.11267,-0.03976,0.01976,0.20238,-0.97830,0.28205,0.12849,0.01026,-1.00000,0.00000,0.00000,-0.00000
0.1601,21.22039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.11910,0.15237,0.01291,-1.00000,0.00000,0.00000,-0.00000
0.1741,21.23039,459.64435,3.05893,648.11267,-0.03974,0.01976,0.20244,-0.97829,-0.19438,-0.58177,-0.03944,-1.00000,0.00000,0.00000,-0.00000
0.1811,21.24039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.31259,0.67341,0.05834,-1.00000,0.00000,0.00000,-0.00000
0.1881,21.25039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27546,0.13311,0.01018,-1.00000,0.00000,0.00000,-0.00000
0.2019,21.26039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.11701,0.15042,0.01296,-1.00000,0.00000,0.00000,-0.00000
0.2090,21.27039,459.64435,3.05893,648.11267,-0.03974,0.01976,0.20244,-0.97829,-0.18733,-0.58202,-0.03936,-1.00000,0.00000,0.00000,-0.00000
0.2229,21.28039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.31228,0.67615,0.05845,-1.00000,0.00000,0.00000,-0.00000
0.2298,21.29039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27515,0.13206,0.01018,-1.00000,0.00000,0.00000,-0.00000
0.2439,21.30039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.11627,0.15166,0.01295,-1.00000,0.00000,0.00000,-0.00000
0.2506,21.31039,459.64435,3.05893,648.11267,-0.03973,0.01976,0.20245,-0.97829,-0.18755,-0.58228,-0.03937,-1.00000,0.00000,0.00000,-0.00000
0.2578,21.32039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.30494,0.68158,0.05830,-1.00000,0.00000,0.00000,-0.00000
0.2714,21.33039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27468,0.12731,0.01020,-1.00000,0.00000,0.00000,-0.00000
0.2784,21.34039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.12505,0.15161,0.01280,-1.00000,0.00000,0.00000,-0.00000
0.2923,21.35039,459.64435,3.05893,648.11267,-0.03973,0.01976,0.20245,-0.97829,-0.18739,-0.58207,-0.03937,-1.00000,0.00000,0.00000,-0.00000
0.2992,21.36039,459.64432,3.05893,648.11267,-0.03974,0.01976,0.20242,-0.97829,0.30496,0.68160,0.05830,-1.00000,0.00000,0.00000,-0.00000
0.3131,21.37039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27468,0.12732,0.01020,-1.00000,0.00000,0.00000,-0.00000
0.3201,21.38039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.11758,0.15028,0.01274,-1.00000,0.00000,0.00000,-0.00000
0.3343,21.39039,459.64435,3.05893,648.11267,-0.03973,0.01976,0.20245,-0.97829,-0.17926,-0.58290,-0.03940,-1.00000,0.00000,0.00000,-0.00000
0.3412,21.40039,459.64432,3.05893,648.11267,-0.03974,0.01975,0.20242,-0.97829,0.30590,0.68020,0.05817,-1.00000,0.00000,0.00000,-0.00000
0.3482,21.41039,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27167,0.12886,0.01011,-1.00000,0.00000,0.00000,-0.00000
0.3622,21.42039,459.64432,3.05892,648.11267,-0.03976,0.01974,0.20236,-0.97831,0.12411,0.14957,0.01292,-1.00000,0.00000,0.00000,-0.00000
0.3693,21.43040,459.64435,3.05893,648.11267,-0.03973,0.01976,0.20245,-0.97829,-0.18551,-0.58082,-0.03946,-1.00000,0.00000,0.00000,-0.00000
0.3833,21.44040,459.64432,3.05893,648.11267,-0.03974,0.01975,0.20242,-0.97829,0.31287,0.67467,0.05844,-1.00000,0.00000,0.00000,-0.00000
0.3932,21.45040,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20238,-0.97830,0.27281,0.13215,0.01011,-1.00000,0.00000,0.00000,-0.00000
0.4005,21.46040,459.64432,3.05892,648.11267,-0.03975,0.01978,0.20236,-0.97830,0.05544,-0.06443,-0.03909,-1.00000,0.00000,0.00000,-0.00000
0.4145,21.47040,459.64432,3.05892,648.11267,-0.03976,0.01976,0.20234,-0.97831,0.05637,0.15258,0.02003,-1.00000,0.00000,0.00000,-0.00000
0.4217,21.48040,459.64432,3.05894,648.11267,-0.03974,0.01974,0.20244,-0.97829,-0.11778,-0.38434,0.01579,-1.00000,0.00000,0.00000,-0.00000
0.4285,21.49040,459.64432,3.05892,648.11267,-0.03976,0.01978,0.20237,-0.97830,0.25611,0.04607,-0.04529,-1.00000,0.00000,0.00000,-0.00000
0.4424,21.50040,459.64432,3.05892,648.11267,-0.03976,0.01977,0.20235,-0.97831,0.01161,0.19569,0.01743,-1.00000,0.00000,0.00000,-0.00000
0.4494,21.51040,459.64432,3.05892,648.11267,-0.03976,0.01975,0.20234,-0.97831,0.06905,0.09729,0.01850,-1.00000,0.00000,0.00000,-0.00000
0.4635,21.52040,459.64435,3.05893,648.11267,-0.03974,0.01977,0.20244,-0.97829,-0.21513,-0.60905,-0.03802,-1.00000,0.00000,0.00000,-0.00000
